Significant UniProt IDs
A2A8L5
A2A8L5
A2AJI0
A2AJI0
A2AJI0
A2AQ25
A2ARV4
A2ARV4
A2ARV4
A2ARV4
A2ASS6
A2AVA0
B0V2N1
B0V2N1
B0V2N1
B1AY10
B1AZI6
B1AZI6
B1AZI6
B1AZP2
B1AZP2
B1AZP2
B2RRE7
B2RXS4
B2RXS4
B5X0G2
B8JK39
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXG0
D3YXK2
E9PVB5
E9PVB5
E9PVX6
E9Q557
E9Q557
E9Q6J5
E9Q6J5
E9Q6J5
E9Q6J5
E9Q6J5
E9Q7G0
E9Q912
E9Q912
E9Q912
O08553
O08553
O08553
O08709
O08842
O08912
O08912
O08969
O09126
O09126
O09131
O09131
O09131
O09164
O09164
O09164
O09164
O09164
O35188
O35188
O35188
O35206
O35206
O35206
O35245
O35280
O35343
O35607
O35607
O35607
O35643
O35643
O35643
O35643
O35643
O35643
O54732
O55091
O55091
O55131
O70133
O70133
O70133
O70165
O70165
O70340
O70340
O70340
O70340
O70340
O70400
O70400
O70400
O70551
O70551
O70551
O88393
O88393
O88393
O88393
O88491
O88491
O88491
O88738
O88738
O88738
O88792
O88792
O88792
O88824
O88824
O88824
O88824
O88844
O88947
O88947
O89001
O89001
O89001
O89001
O89017
O89020
O89020
O89103
P00493
P00493
P00493
P00860
P00860
P00860
P01027
P01027
P01027
P01027
P01027
P01027
P01027
P01810
P01810
P01810
P01837
P02104
P02104
P02104
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P02772
P03899
P03899
P03899
P03975
P04444
P04444
P04444
P05064
P05064
P05064
P06151
P06151
P06684
P06684
P06684
P06684
P06684
P06909
P06909
P06909
P07214
P07214
P07214
P07214
P07742
P07742
P08071
P08071
P08071
P08121
P08121
P08121
P08121
P08121
P08249
P08249
P08607
P08730
P08775
P08775
P08775
P08882
P08884
P08884
P09055
P09055
P09055
P09103
P09103
P09103
P10605
P11103
P11103
P11680
P11680
P11680
P11983
P11983
P11983
P12025
P12970
P12970
P12970
P13595
P13595
P13595
P13595
P13595
P13864
P13864
P14094
P14094
P14094
P14094
P14106
P14106
P14824
P14824
P14824
P14824
P14873
P14873
P14873
P14873
P14873
P14873
P15209
P15209
P15209
P17751
P17751
P17751
P17751
P17751
P17751
P18155
P18155
P18155
P18155
P18406
P18760
P19221
P19324
P19324
P20863
P20863
P20863
P20863
P20863
P21614
P21614
P21614
P21981
P21981
P21995
P21995
P21995
P21995
P24527
P24527
P24527
P25444
P25444
P25444
P26039
P26039
P26039
P26039
P26039
P26039
P26039
P26039
P26039
P26262
P26262
P27046
P27046
P27046
P27046
P27046
P27546
P27546
P27546
P27612
P27612
P27612
P28352
P28352
P28352
P28474
P28658
P28658
P28658
P28666
P28666
P28666
P28667
P28667
P28667
P28667
P29416
P29699
P30416
P30416
P30416
P31809
P31809
P31809
P31809
P32507
P32507
P32507
P32921
P33174
P33434
P33434
P33434
P33434
P33434
P33434
P35441
P35441
P35441
P35441
P35441
P35550
P35550
P35979
P35979
P35979
P35979
P35979
P35979
P35979
P35979
P36916
P39061
P39061
P40201
P41230
P41317
P41317
P43025
P43025
P43406
P43406
P46061
P46061
P46061
P46412
P46735
P46735
P46735
P47757
P47757
P47757
P47757
P47791
P47791
P47791
P47791
P47791
P47791
P47856
P47856
P47856
P47877
P47877
P47877
P47877
P47879
P47879
P47879
P47879
P47931
P47931
P47931
P48725
P48759
P48759
P48759
P48759
P48774
P48774
P48774
P50396
P50396
P50396
P50396
P50396
P50396
P50446
P51410
P51410
P51410
P51655
P51655
P51655
P51859
P52430
P52430
P52430
P52795
P53702
P53702
P54729
P54729
P54729
P54754
P54754
P54763
P54775
P54775
P55002
P55002
P55144
P55144
P55284
P55284
P55284
P55284
P56391
P56391
P56391
P57724
P57724
P58252
P58252
P58281
P58281
P58281
P58871
P58871
P59235
P59235
P59900
P59900
P59900
P59900
P59900
P60330
P60330
P60330
P61222
P61979
P61979
P61979
P62080
P62080
P62080
P62192
P62192
P62196
P62196
P62196
P62717
P62717
P62717
P62717
P62717
P62717
P62830
